Assignement,Charge,Elemental composition,Mass
d1,4-,C12H16N5O7P1S1,100.255425
b1,3-,C12H15N5O5,102.028496
x2,7-,C24H31N8O12P2S2,106.006696
c2,7-,C24H31N8O12P2S2,106.006696
a2,6-,C24H31N8O10P1S1,108.019748
z2,6-,C24H31N8O10P1S1,108.019748
d2,7-,C24H32N8O13P2S2,108.435659
w2,7-,C24H32N8O13P2S2,108.435659
b2,6-,C24H31N8O11P1S1,110.685567
y2,6-,C24H31N8O11P1S1,110.685567
z3,9-,C36H45N13O15P2S2,112.904665
a3,9-,C36H45N13O15P2S2,112.904665
y3,9-,C36H45N13O16P2S2,114.681878
b3,9-,C36H45N13O16P2S2,114.681878
x1,3-,C12H17N3O6P1S1,119.67858
x3,9-,C36H45N13O17P3S3,123.453072
c3,9-,C36H45N13O17P3S3,123.453072
x2,6-,C24H31N8O12P2S2,123.842358
c2,6-,C24H31N8O12P2S2,123.842358
w3,9-,C36H46N13O18P3S3,125.342265
d3,9-,C36H46N13O18P3S3,125.342265
w1,3-,C12H18N3O7P1S1,125.34616
w2,6-,C24H32N8O13P2S2,126.676148
d2,6-,C24H32N8O13P2S2,126.676148
z3,8-,C36H45N13O15P2S2,127.143658
a3,8-,C36H45N13O15P2S2,127.143658
c1,3-,C12H15N5O6P1S1,128.342079
y3,8-,C36H45N13O16P2S2,129.143022
b3,8-,C36H45N13O16P2S2,129.143022
z2,5-,C24H31N8O10P1S1,129.825153
a2,5-,C24H31N8O10P1S1,129.825153
z1,2-,C12H17N3O4,132.553677
b2,5-,C24H31N8O11P1S1,133.024136
y2,5-,C24H31N8O11P1S1,133.024136
d1,3-,C12H16N5O7P1S1,134.009659
c3,8-,C36H45N13O17P3S3,139.010616
x3,8-,C36H45N13O17P3S3,139.010616
y1,2-,C12H17N3O5,140.551134
d3,8-,C36H46N13O18P3S3,141.135958
w3,8-,C36H46N13O18P3S3,141.135958
a3,7-,C36H45N13O15P2S2,145.450934
z3,7-,C36H45N13O15P2S2,145.450934
a1,2-,C12H15N5O4,145.548926
y3,7-,C36H45N13O16P2S2,147.735922
b3,7-,C36H45N13O16P2S2,147.735922
z4,9-,C46H59N16O20P3S3,148.353463
a4,9-,C46H58N15O21P3S3,148.462798
c2,5-,C24H31N8O12P2S2,148.812285
x2,5-,C24H31N8O12P2S2,148.812285
y4,9-,C46H59N16O21P3S3,150.130675
b4,9-,C46H58N15O22P3S3,150.240011
